store_id,event_type_label,mean_event_store_sales,event_store_days,event_dates,zero_sales_store_days,mean_non_event_store_sales,store_sales_change_pct
CA_1,Cultural,3925.6666666666665,36,36,0,4054.347728547392,-3.1739029431210097
CA_1,Multiple,4548.5,4,4,0,4054.347728547392,12.18820645237686
CA_1,National,3469.607843137255,51,51,5,4054.347728547392,-14.422539075592312
CA_1,Religious,3977.403846153846,52,52,0,4054.347728547392,-1.8978116221203711
CA_1,Sporting,4003.5333333333333,15,15,0,4054.347728547392,-1.2533309576843954
CA_2,Cultural,3168.0,36,36,0,3006.6124509254064,5.367753633326444
CA_2,Multiple,3291.25,4,4,0,3006.6124509254064,9.467051498006839
CA_2,National,2558.156862745098,51,51,0,3006.6124509254064,-14.915643286259861
CA_2,Religious,2993.2884615384614,52,52,0,3006.6124509254064,-0.44315619669718087
CA_2,Sporting,2951.6666666666665,15,15,0,3006.6124509254064,-1.8274980615419212
CA_3,Cultural,5690.361111111111,36,36,0,5874.955692652832,-3.1420591268896403
CA_3,Multiple,6588.25,4,4,0,5874.955692652832,12.141271265061748
CA_3,National,5232.6274509803925,51,51,1,5874.955692652832,-10.93332912239201
CA_3,Religious,5769.2692307692305,52,52,0,5874.955692652832,-1.7989320671094156
CA_3,Sporting,6028.133333333333,15,15,0,5874.955692652832,2.6072986537083898
CA_4,Cultural,2099.6666666666665,36,36,0,2164.5961862030285,-2.999613505291099
CA_4,Multiple,2196.5,4,4,0,2164.5961862030285,1.4738921744537725
CA_4,National,1847.2941176470588,51,51,5,2164.5961862030285,-14.658718821479455
CA_4,Religious,2137.2115384615386,52,52,0,2164.5961862030285,-1.2651157715253158
CA_4,Sporting,2222.5333333333333,15,15,0,2164.5961862030285,2.676579932071932
TX_1,Cultural,3206.6666666666665,36,36,0,2931.5120583286594,9.386098466021009
TX_1,Multiple,3600.75,4,4,0,2931.5120583286594,22.82910417407229
TX_1,National,2633.372549019608,51,51,3,2931.5120583286594,-10.170161451733184
TX_1,Religious,2964.923076923077,52,52,0,2931.5120583286594,1.13971963715771
TX_1,Sporting,3174.4,15,15,0,2931.5120583286594,8.285415063577073
TX_2,Cultural,3853.9444444444443,36,36,0,3780.1531127313515,1.952072561943785
TX_2,Multiple,4473.25,4,4,0,3780.1531127313515,18.335153804599493
TX_2,National,3390.6666666666665,51,51,3,3780.1531127313515,-10.303456882551021
TX_2,Religious,3841.826923076923,52,52,0,3780.1531127313515,1.6315161980571036
TX_2,Sporting,4019.6666666666665,15,15,0,3780.1531127313515,6.33608075632297
TX_3,Cultural,3236.75,36,36,0,3205.490745933819,0.9751784217699955
TX_3,Multiple,3341.75,4,4,0,3205.490745933819,4.250807906372089
TX_3,National,2796.294117647059,51,51,0,3205.490745933819,-12.765490863008356
TX_3,Religious,3234.730769230769,52,52,0,3205.490745933819,0.9121855470661133
TX_3,Sporting,3322.866666666667,15,15,0,3205.490745933819,3.661714540331751
WI_1,Cultural,2673.222222222222,36,36,0,2730.293886707796,-2.090312136851724
WI_1,Multiple,2644.5,4,4,0,2730.293886707796,-3.1422949421480273
WI_1,National,2079.274509803922,51,51,3,2730.293886707796,-23.84429676502251
WI_1,Religious,2740.0384615384614,52,52,0,2730.293886707796,0.35690571180289066
WI_1,Sporting,2536.866666666667,15,15,0,2730.293886707796,-7.08448350497407
WI_2,Cultural,3282.3333333333335,36,36,0,3476.6152551878854,-5.588249132964595
WI_2,Multiple,3291.5,4,4,0,3476.6152551878854,-5.3245827219923765
WI_2,National,2694.7843137254904,51,51,2,3476.6152551878854,-22.488279089718908
WI_2,Religious,3435.1153846153848,52,52,0,3476.6152551878854,-1.1936860286905104
WI_2,Sporting,3452.866666666667,15,15,0,3476.6152551878854,-0.683095101932274
WI_3,Cultural,3464.8888888888887,36,36,0,3384.7593942793046,2.3673616135023945
WI_3,Multiple,3186.0,4,4,0,3384.7593942793046,-5.872186797538237
WI_3,National,2756.4313725490197,51,51,2,3384.7593942793046,-18.563447162366785
WI_3,Religious,3363.8076923076924,52,52,0,3384.7593942793046,-0.6190012207964779
WI_3,Sporting,3637.0,15,15,0,3384.7593942793046,7.452246270355745
