date,store_id,total_sales,event_name_label,event_type_label
2011-12-25,CA_1,0,Christmas,National
2011-12-25,CA_4,0,Christmas,National
2011-12-25,TX_1,0,Christmas,National
2011-12-25,TX_2,0,Christmas,National
2011-12-25,WI_1,0,Christmas,National
2011-12-25,WI_3,0,Christmas,National
2012-12-25,CA_1,0,Christmas,National
2012-12-25,CA_4,0,Christmas,National
2012-12-25,TX_1,0,Christmas,National
2012-12-25,TX_2,0,Christmas,National
2012-12-25,WI_1,0,Christmas,National
2012-12-25,WI_3,0,Christmas,National
2013-12-25,CA_1,0,Christmas,National
2013-12-25,CA_4,0,Christmas,National
2013-12-25,WI_2,0,Christmas,National
2014-12-25,CA_1,0,Christmas,National
2014-12-25,CA_3,0,Christmas,National
2014-12-25,CA_4,0,Christmas,National
2014-12-25,TX_1,0,Christmas,National
2014-12-25,WI_1,0,Christmas,National
2014-12-25,WI_2,0,Christmas,National
2015-12-25,CA_1,0,Christmas,National
2015-12-25,CA_4,0,Christmas,National
2015-12-25,TX_2,0,Christmas,National
